PMID,article_title
32844198,Genetic variants and functional pathways associated with resilience to Alzheimer's disease.
32854783,The fusiform gyrus exhibits an epigenetic signature for Alzheimer's disease.
32862331,Transcriptomic Heterogeneity of Alzheimer's Disease Associated with Lipid Genetic Risk.
32870973,A Likelihood Ratio Test for Gene-Environment Interaction Based on the Trend Effect of Genotype Under an Additive Risk Model Using the Gene-Environment Independence Assumption.
32877673,Cross-Species Analyses Identify Dlgap2 as a Regulator of Age-Related Cognitive Decline and Alzheimer's Dementia.
32878640,Analysis of brain region-specific co-expression networks reveals clustering of established and novel genes associated with Alzheimer disease.
32894242,"Examination of the Effect of Rare Variants in TREM2, ABI3, and PLCG2 in LOAD Through Multiple Phenotypes."
32896012,Set-based genetic association and interaction tests for survival outcomes based on weighted V statistics.
32898681,Implicating causal brain imaging endophenotypes in Alzheimer's disease using multivariable IWAS and GWAS summary data.
32925200,Clinical Profiles of Arteriolosclerosis and Alzheimer Disease at Mild Cognitive Impairment and Mild Dementia in a National Neuropathology Cohort.
32930491,Underlying features of epigenetic aging clocks in vivo and in vitro.
32961112,Bayesian Genome-wide TWAS Method to Leverage both cis- and trans-eQTL Information through Summary Statistics.
32964524,Fine-mapping and QTL tissue-sharing information improves the reliability of causal gene identification.
32966694,"Non-coding variants in MYH11, FZD3, and SORCS3 are associated with dementia in women."
32989324,An integrated multi-omics approach identifies epigenetic alterations associated with Alzheimer's disease.
32996171,Causal Associations Between Modifiable Risk Factors and the Alzheimer's Phenome.
33009718,Patterns of anticonvulsant use and adverse drug events in older adults.
33016904,Characterizing Clinical and Neuropathological Traits of APOE Haplotypes in African Americans and Europeans.
33046718,Large eQTL meta-analysis reveals differing patterns between cerebral cortical and cerebellar brain regions.
33074286,Novel Alzheimer Disease Risk Loci and Pathways in African American Individuals Using the African Genome Resources Panel: A Meta-analysis.
33075204,Long genes are more frequently affected by somatic mutations and show reduced expression in Alzheimer's disease: Implications for disease etiology.
33087363,The FAM171A2 gene is a key regulator of progranulin expression and modifies the risk of multiple neurodegenerative diseases 
33090224,"Association of Uncommon, Noncoding Variants in the APOE Region With Risk of Alzheimer Disease in Adults of European Ancestry."
33152028,Quantifying cognitive resilience in Alzheimer's Disease: The Alzheimer's Disease Cognitive Resilience Score.
33154391,Genetic and non-genetic factors associated with the phenotype of exceptional longevity & normal cognition.
33164815,Greater effect of polygenic risk score for Alzheimer's disease among younger cases who are apolipoprotein E-ε4 carriers.
33175954,rs34331204 regulates TSPAN13 expression and contributes to Alzheimer's disease with sex differences.
33185604,"Investigating Causal Relations Between Risk Tolerance, Risky Behaviors, and Alzheimer's Disease: A Bidirectional Two-Sample Mendelian Randomization Study."
33188183,Molecular estimation of neurodegeneration pseudotime in older brains.
33240075,Association of Genes Involved in the Metabolic Pathways of Amyloid-β and Tau Proteins With Sporadic Late-Onset Alzheimer's Disease in the Southern Han Chinese Population.
33303219,"Genetic variants in glutamate-, Aβ-, and tau-related pathways determine polygenic risk for Alzheimer's disease."
33326071,Using INFERNO to Infer the Molecular Mechanisms Underlying Noncoding Genetic Associations.
33419453,Association between polygenic risk score of Alzheimer's disease and plasma phosphorylated tau in individuals from the Alzheimer's Disease Neuroimaging Initiative.
33461566,rs1990622 variant associates with Alzheimer's disease and regulates TMEM106B expression in human brain tissues.
33476090,"Tailor: Targeting heavy tails in flow cytometry data with fast, interpretable mixture modeling."
33512503,A Non-APOE Polygenic Risk Score for Alzheimer's Disease Is Associated With Cerebrospinal Fluid Neurofilament Light in a Representative Sample of Cognitively Unimpaired 70-Year Olds.
33516273,Convergent lines of evidence support BIN1 as a risk gene of Alzheimer's disease.
33523961,Molecular subtyping of Alzheimer's disease using RNA sequencing data reveals novel mechanisms and targets.
33532541,Polygenic risk scores for Alzheimer's disease are related to dementia risk in APOE ɛ4 negatives.
33563324,"Genetically determined blood pressure, antihypertensive medications, and risk of Alzheimer's disease: a Mendelian randomization study."
33571421,Genetic control of the human brain proteome.
33576571,Harnessing the paradoxical phenotypes of APOE ɛ2 and APOE ɛ4 to identify genetic modifiers in Alzheimer's disease.
33584820,Recent Consanguinity and Outbred Autozygosity Are Associated With Increased Risk of Late-Onset Alzheimer's Disease.
33591372,Lack of evidence supporting a role for DPP6 sequence variants in Alzheimer's disease in the European American population.
33627629,Long runs of homozygosity are associated with Alzheimer's disease.
33637690,Exome-wide age-of-onset analysis reveals exonic variants in ERN1 and SPPL2C associated with Alzheimer's disease.
33645898,Increased Alu RNA processing in Alzheimer brains is linked to gene expression changes.
33649380,Defining early changes in Alzheimer's disease from RNA sequencing of brain regions differentially affected by pathology.
33684137,MOSTWAS: Multi-Omic Strategies for Transcriptome-Wide Association Studies.
33734320,Modeling multifunctionality of genes with secondary gene co-expression networks in human brain provides novel disease insights.
33749649,Five-Year Change in Body Mass Index Predicts Conversion to Mild Cognitive Impairment or Dementia Only in APOE ɛ4 Allele Carriers.
33771206,Meta-analysis of genome-wide DNA methylation identifies shared associations across neurodegenerative disorders.
33798195,Novel Variance-Component TWAS method for studying complex human diseases with applications to Alzheimer's dementia.
33798978,"Evaluation relationships between subjective wellbeing, personality traits, and Alzheimer's disease: A two-sample Mendelian randomization study."
33804025,Set-Based Rare Variant Expression Quantitative Trait Loci in Blood and Brain from Alzheimer Disease Study Participants.
33804666,The Impact of Complement Genes on the Risk of Late-Onset Alzheimer's Disease.
33837133,Bayesian estimation of cell type-specific gene expression with prior derived from single-cell data.
33846280,Multiomics integrative analysis identifies 
33863950,Reconcile the debate over protective effects of BCG vaccine against COVID-19.
33879569,Mendelian randomization identifies blood metabolites previously linked to midlife cognition as causal candidates in Alzheimer's disease.
33904573,Identification of cell-type-specific marker genes from co-expression patterns in tissue samples.
33907181,Cell-type-specific expression quantitative trait loci associated with Alzheimer disease in blood and brain tissue.
33942053,A Robust Test for Additive Gene-Environment Interaction Under the Trend Effect of Genotype Using an Empirical Bayes-Type Shrinkage Estimator.
33947463,Multi-tissue neocortical transcriptome-wide association study implicates 8 genes across 6 genomic loci in Alzheimer's disease.
33958804,Neuronal ApoE upregulates MHC-I expression to drive selective neurodegeneration in Alzheimer's disease.
33959712,Defining functional variants associated with Alzheimer's disease in the induced immune response.
33970751,"Analysis of whole genome sequenced cases and controls shows that the association of variants in TOMM40, BCAM, NECTIN2 and APOC1 with late onset Alzheimer's disease is driven by linkage disequilibrium with APOE ε2/ε3/ε4 alleles"
33971669,Integrative-omics for discovery of network-level disease biomarkers: a case study in Alzheimer's disease.
34020725,Genome-wide analysis identifies a novel LINC-PINT splice variant associated with vascular amyloid pathology in Alzheimer's disease.
34027015,Transfer learning-trained convolutional neural networks identify novel MRI biomarkers of Alzheimer's disease progression.
34035245,Identification of putative causal loci in whole-genome sequencing data via knockoff statistics.
34038570,Polygenic Risk Score for Alzheimer's Disease in Caribbean Hispanics.
34040149,NEBULA is a fast negative binomial mixed model for differential or co-expression analysis of large-scale multi-subject single-cell data.
34073619,A Genetic Study of Cerebral Atherosclerosis Reveals Novel Associations with 
34099642,Common variants in Alzheimer's disease and risk stratification by polygenic risk scores.
34112972,Genome-wide association identifies the first risk loci for psychosis in Alzheimer disease.
34122051,Similar Genetic Architecture of Alzheimer's Disease and Differential 
34135352,"Rare CASP6N73T variant associated with hippocampal volume exhibits decreased proteolytic activity, synaptic transmission defect, and neurodegeneration."
34152079,Association of mitochondrial variants and haplogroups identified by whole exome sequencing with Alzheimer's disease.
34171228,Dysregulation of the secretory pathway connects Alzheimer's disease genetics to aggregate formation.
34239132,Single-nucleus chromatin accessibility and transcriptomic characterization of Alzheimer's disease.
34281550,Investigating causal relationships between exposome and human longevity: a Mendelian randomization analysis.
34301930,Identifying individuals with high risk of Alzheimer's disease using polygenic risk scores.
34386572,Polygenic score modifies risk for Alzheimer's disease in 
34400772,The acute phase protein lactoferrin is a key feature of Alzheimer's disease and predictor of Aβ burden through induction of APP amyloidogenic processing.
34433407,A pipeline for RNA-seq based eQTL analysis with automated quality control procedures.
34473944,"Stem cell-derived neurons reflect features of protein networks, neuropathology, and cognitive outcome of their aged human donors."
34479635,"Leukotriene receptor antagonist use and cognitive decline in normal cognition, mild cognitive impairment, and Alzheimer's dementia."
34480088,Integrative brain transcriptome analysis links complement component 4 and HSPA2 to the APOE ε2 protective effect in Alzheimer disease.
34516545,"Rare variants in the endocytic pathway are associated with Alzheimer's disease, its related phenotypes, and functional consequences."
34526147,"Analysis of genes (TMEM106B, GRN, ABCC9, KCNMB2, and APOE) implicated in risk for LATE-NC and hippocampal sclerosis provides pathogenetic insights: a retrospective genetic association study."
34526483,Cortical structure and the risk for Alzheimer's disease: a bidirectional Mendelian randomization study.
34545375,Olfactory Bulb and Amygdala Gene Expression Changes in Subjects Dying with COVID-19.
34550726,In vivo and neuropathology data support locus coeruleus integrity as indicator of Alzheimer's disease pathology and cognitive decline.
34560893,Herpesvirus infections and Alzheimer's disease: a Mendelian randomization study.
34569956,"Longitudinal Body Weight Change, Visit-To-Visit Body Weight Fluctuation, and Cognitive Decline Among Older Adults."
34589742,Differentially expressed genes in Alzheimer's disease highlighting the roles of microglia genes including OLR1 and astrocyte gene CDK2AP1.
34680427,Systems Analysis Reveals Ageing-Related Perturbations in Retinoids and Sex Hormones in Alzheimer's and Parkinson's Diseases.
34715780,Mendelian randomization to evaluate the effect of plasma vitamin C levels on the risk of Alzheimer's disease.
34757660,Integrative metabolomics-genomics approach reveals key metabolic pathways and regulators of Alzheimer's disease.
34761247,Model-based assessment of mammalian cell metabolic functionalities using omics data.
34767756,"Genome-wide analysis of common and rare variants via multiple knockoffs at biobank scale, with an application to Alzheimer disease genetics."
34785643,A missense variant in SHARPIN mediates Alzheimer's disease-specific brain damages.
34852950,Association between WWOX/MAF variants and dementia-related neuropathologic endophenotypes.
34854549,Plasma p-tau
34873149,Genetically regulated expression in late-onset Alzheimer's disease implicates risk genes within known and novel loci.
34873813,"Integration of GWAS and brain transcriptomic analyses in a multiethnic sample of 35,245 older adults identifies DCDC2 gene as predictor of episodic memory maintenance."
35005195,Large-scale sequencing studies expand the known genetic architecture of Alzheimer's disease.
35005200,Causal association of cognitive reserve on Alzheimer's disease with putative sex difference.
35031607,Transcriptional programs regulating neuronal differentiation are disrupted in DLG2 knockout human embryonic stem cells and enriched for schizophrenia and related disorders risk variants.
35032048,Association of ultra-rare coding variants with genetic generalized epilepsy: A case-control whole exome sequencing study.
35043938,Accounting for nonlinear effects of gene expression identifies additional associated genes in transcriptome-wide association studies.
35047815,FILER: a framework for harmonizing and querying large-scale functional genomics knowledge.
35068457,Alzheimer's Disease Variant Portal: A Catalog of Genetic Findings for Alzheimer's Disease.
35090530,Mendelian randomization highlights significant difference and genetic heterogeneity in clinically diagnosed Alzheimer's disease GWAS and self-report proxy phenotype GWAX.
35115553,Inferring protein expression changes from mRNA in Alzheimer's dementia using deep neural networks.
35120553,Challenges at the APOE locus: a robust quality control approach for accurate APOE genotyping.
35139885,Blood and brain transcriptome analysis reveals APOE genotype-mediated and immune-related pathways involved in Alzheimer disease.
35142023,Protein phosphatase 2A and complement component 4 are linked to the protective effect of APOE ɛ2 for Alzheimer's disease.
35142102,Neuropathological lesions and their contribution to dementia and cognitive impairment in a heterogeneous clinical population.
35143967,Multi-transcriptomic analysis points to early organelle dysfunction in human astrocytes in Alzheimer's disease.
35156446,Genome-wide association study of brain arteriolosclerosis.
35197341,"Association of social isolation, loneliness and genetic risk with incidence of dementia: UK Biobank Cohort Study."
35210353,An association test of the spatial distribution of rare missense variants within protein structures identifies Alzheimer's disease-related patterns.
35253760,Predictors of Mortality in Individuals with Dementia in the National Alzheimer's Coordinating Center.
35258170,Progranulin mutations in clinical and neuropathological Alzheimer's disease.
35260865,Dissection of artifactual and confounding glial signatures by single-cell sequencing of mouse and human brain.
35275550,Investigating Causal Relations Between Circulating Metabolites and Alzheimer's Disease: A Mendelian Randomization Study.
35278341,Identification of the Aβ37/42 peptide ratio in CSF as an improved Aβ biomarker for Alzheimer's disease.
35288716,Integrating whole-genome sequencing with multi-omic data reveals the impact of structural variants on gene regulation in the human brain.
35379992,New insights into the genetic etiology of Alzheimer's disease and related dementias.
35383839,Genetic architecture of RNA editing regulation in Alzheimer's disease across diverse ancestral populations.
35388616,"Transcriptional landscape of human microglia implicates age, sex, and APOE-related immunometabolic pathway perturbations."
35404285,Spillover: The Approval of New Medications for Alzheimer's Disease Dementia Will Impact Biomarker Disclosure Among Asymptomatic Research Participants.
35413975,Manifestations of Alzheimer's disease genetic risk in the blood are evident in a multiomic analysis in healthy adults aged 18 to 90.
35459767,ODACH: a one-shot distributed algorithm for Cox model with heterogeneous multi-center data.
35461270,Integrative analysis of eQTL and GWAS summary statistics reveals transcriptomic alteration in Alzheimer brains.
35513526,DIALOGUE maps multicellular programs in tissue from single-cell or spatial transcriptomics data.
35552371,Sex differences in the genetic architecture of cognitive resilience to Alzheimer's disease.
35567427,Alzheimer's disease associated AKAP9 I2558M mutation alters posttranslational modification and interactome of tau and cellular functions in CRISPR-edited human neuronal cells.
35598332,Mendelian randomization highlights causal association between genetically increased C-reactive protein levels and reduced Alzheimer's disease risk.
35658006,Integrated analysis of direct and proxy genome wide association studies highlights polygenicity of Alzheimer's disease outside of the APOE region.
35702161,"Early-Stage MRI Volumetric Differences in White Matter Hyperintensity and Temporal Lobe Volumes between Autopsy-Confirmed Alzheimer's Disease, Cerebral Small Vessel Disease, and Mixed Pathologies."
35761418,Penetrance estimation of Alzheimer disease in SORL1 loss-of-function variant carriers using a family-based strategy and stratification by APOE genotypes.
35770850,Genome-wide association and multi-omics studies identify MGMT as a novel risk gene for Alzheimer's disease among women.
35788729,A locus at 19q13.31 significantly reduces the ApoE ε4 risk for Alzheimer's Disease in African Ancestry.
35840796,Cognitive performance protects against Alzheimer's disease independently of educational attainment and intelligence.
35848019,"Polygenic Risk Scores in Alzheimer's Disease Genetics: Methodology, Applications, Inclusion, and Diversity."
35848021,Parkinson's Disease rs117896735 Variant Regulates INPP5F Expression in Brain Tissues and Increases Risk of Alzheimer's Disease.
35896049,RNASE6 is a novel modifier of APOE-ε4 effects on cognition.
35897046,Deletion of Abi3/Gngt2 influences age-progressive amyloid β and tau pathologies in distinctive ways.
35902670,Using a two-sample mendelian randomization analysis to explore the relationship between physical activity and Alzheimer's disease.
35938255,The Advisory Group on Risk Evidence Education for Dementia: Multidisciplinary and Open to All.
35943817,Scalable approaches for functional analyses of whole-genome sequencing non-coding variants.
35953482,The causes and consequences of Alzheimer's disease: phenome-wide evidence from Mendelian randomization.
35964198,"The Association of Serum Uric Acid Level, Gout, and Alzheimer's Disease: A Bidirectional Mendelian Randomization Study."
35980155,Omnibus and robust deconvolution scheme for bulk RNA sequencing data integrating multiple single-cell reference sets and prior biological knowledge.
35997131,Common Variants Near ZIC1 and ZIC4 in Autopsy-Confirmed Multiple System Atrophy.
36043702,Identifying Medicare Beneficiaries With Delirium.
36109771,Distinct sex-specific DNA methylation differences in Alzheimer's disease.
36139002,Determining Whether Sex and Zygosity Modulates the Association between APOE4 and Psychosis in a Neuropathologically-Confirmed Alzheimer's Disease Cohort
36191742,Multiple gene variants linked to Alzheimer's-type clinical dementia via GWAS are also associated with non-Alzheimer's neuropathologic entities.
36198219,Association of autoimmune diseases with Alzheimer's disease: A mendelian randomization study.
36199750,Effect of APOE alleles on the glial transcriptome in normal aging and Alzheimer's disease
36204489,A scalable Bayesian functional GWAS method accounting for multivariate quantitative functional annotations with applications for studying Alzheimer disease.
36251323,Metabolomic and lipidomic signatures in autosomal dominant and late-onset Alzheimer's disease brains.
36327897,Microglial efferocytosis: Diving into the Alzheimer's disease gene pool.
36368315,TREM2-independent microgliosis promotes tau-mediated neurodegeneration in the presence of ApoE4.
36385530,Medin co-aggregates with vascular amyloid-β in Alzheimer's disease.
36424395,Neuroimmune transcriptome changes in patient brains of psychiatric and neurological disorders.
36424430,Multiregion transcriptomic profiling of the primate brain reveals signatures of aging and the social environment.
36442194,"Polygenic Liability to Alzheimer's Disease Is Associated with a Wide Range of Chronic Diseases: A Cohort Study of 312,305 Participants."
36528961,Investigation of the independent role of a rare APOE variant (L28P; APOE*4Pittsburgh) in late-onset Alzheimer disease.
36539198,Admixture mapping identifies novel Alzheimer's disease risk regions in African Americans.
36543923,African ancestry GWAS of dementia in a large military cohort identifies significant risk loci.
36544249,Comparative Effectiveness and Safety of Seizure Prophylaxis Among Adults After Acute Ischemic Stroke.
36572369,No short-term mortality from benzodiazepine use post-acute ischemic stroke after accounting for bias.
36609403,Genome-wide association study of brain biochemical phenotypes reveals distinct genetic architecture of Alzheimer's disease related proteins.
36624143,Explainable machine learning aggregates polygenic risk scores and electronic health records for Alzheimer's disease prediction.
36641439,A novel human tau knock-in mouse model reveals interaction of Abeta and human tau under progressing cerebral amyloidosis in 5xFAD mice.
36642501,Heritability of cognitive abilities and regional brain structures in middle-aged to elderly East Asians.
36647296,Genetic studies of plasma analytes identify novel potential biomarkers for several complex traits.
36705426,Pleiotropy analysis between lobar intracerebral hemorrhage and CSF β-amyloid highlights new and established associations.
36737438,Alternative polyadenylation transcriptome-wide association study identifies APA-linked susceptibility genes in brain disorders.
36798198,Epistatic Features and Machine Learning Improve Alzheimer's Risk Prediction Over Polygenic Risk Scores.
36798226,MS4A4A modifies the risk of Alzheimer disease by regulating lipid metabolism and immune response in a unique microglia state.
36846102,The role of structural variations in Alzheimer's disease and other neurodegenerative diseases.
36873924,Altered gene expression in excitatory neurons is associated with Alzheimer's disease and its higher incidence in women.
36882394,OTTERS: a powerful TWAS framework leveraging summary-level reference data.
36905877,Multi-omic characterization of brain changes in the vascular endothelial growth factor family during aging and Alzheimer's disease.
36993867,Human striatal glia differentially contribute to AD- and PD-specific neurodegeneration.
37024668,Deep learning-based polygenic risk analysis for Alzheimer's disease prediction.
37024724,Identifying modifiable factors and their joint effect on dementia risk in the UK Biobank.
37051669,A haptoglobin (HP) structural variant alters the effect of APOE alleles on Alzheimer's disease.
37066910,Visit-to-Visit Blood Pressure Variability and Cognitive Decline in Apolipoprotein ɛ4 Carriers versus Apolipoprotein ɛ3 Homozygotes.
37107675,Interaction between 
37162864,hipFG: High-throughput harmonization and integration pipeline for functional genomics data.
37166019,Alzheimer's disease heterogeneity explained by polygenic risk scores derived from brain transcriptomic profiles.
37225692,Circulating S100B levels at birth and risk of six major neuropsychiatric or neurological disorders: a two-sample Mendelian Randomization Study.
37260021,Novel loci for Alzheimer's disease identified by a genome-wide association study in Ashkenazi Jews.
37322115,Clonal hematopoiesis is associated with protection from Alzheimer's disease.
37333771,Admixture mapping implicates 13q33.3 as ancestry-of-origin locus for Alzheimer disease in Hispanic and Latino populations.
37349795,"A genome-wide search for pleiotropy in more than 100,000 harmonized longitudinal cognitive domain scores."
37369829,Modeling of mitochondrial genetic polymorphisms reveals induction of heteroplasmy by pleiotropic disease locus 10398A>G.
37390458,The Early-Onset Alzheimer's Disease Whole-Genome Sequencing Project: Study design and methodology.
37425698,SR-TWAS: Leveraging Multiple Reference Panels to Improve TWAS Power by Ensemble Machine Learning.
37429840,Nerve growth factor receptor (Ngfr) induces neurogenic plasticity by suppressing reactive astroglial Lcn2/Slc22a17 signaling in Alzheimer's disease.
37459083,"Associations of Sex, Race, and Apolipoprotein E Alleles With Multiple Domains of Cognition Among Older Adults."
37528055,"LATE-NC risk alleles (in TMEM106B, GRN, and ABCC9 genes) among persons with African ancestry."
37547016,
37578203,DNA from multiple viral species is associated with Alzheimer's disease risk.
37621137,Sex- and APOE-specific genetic risk factors for late-onset Alzheimer's disease: Evidence from gene-gene interaction of longevity-related loci.
37629231,Genetics of Alzheimer's Disease in the African American Population.
37677864,An Alzheimer's disease risk variant in TTC3 modifies the actin cytoskeleton organization and the PI3K-Akt signaling pathway in iPSC-derived forebrain neurons.
37693453,Key variants via Alzheimer's Disease Sequencing Project whole genome sequence data.
37693521,"Association of Common and Rare Variants with Alzheimer's Disease in over 13,000 Diverse Individuals with Whole-Genome Sequencing from the Alzheimer's Disease Sequencing Project."
37745545,"Structural Variation Detection and Association Analysis of Whole-Genome-Sequence Data from 16,905 Alzheimer's Diseases Sequencing Project Subjects."
37780862,Early-onset Alzheimer's disease explained by polygenic risk of late-onset disease?
37841863,The impact of blood MCP-1 levels on Alzheimer's disease with genetic variation of UNC5C and NAV3 loci.
37881831,NIAGADS Alzheimer's GenomicsDB: A resource for exploring Alzheimer's disease genetic and genomic knowledge.
37886469,"Structural Variation Detection and Association Analysis of Whole-Genome-Sequence Data from 16,905 Alzheimer's Diseases Sequencing Project Subjects."
37947320,hipFG: high-throughput harmonization and integration pipeline for functional genomics data.
37984333,Integrative multi-omics analysis reveals the critical role of the PBXIP1 gene in Alzheimer's disease.
37984853,Sex-specific genetic architecture of late-life memory performance.
37985223,Longitudinal change in memory performance as a strong endophenotype for Alzheimer's disease.
37985399,Microglial immunometabolism endophenotypes contribute to sex difference in Alzheimer's disease.
38002954,Genome-Wide Association Analysis across Endophenotypes in Alzheimer's Disease: Main Effects and Disease Stage-Specific Interactions.
38011285,Transfer learning with false negative control improves polygenic risk prediction.
38014121,Polygenic burden of short tandem repeat expansions promote risk for Alzheimer's disease.
38016942,INPP5D regulates inflammasome activation in human microglia.
38020759,Effects of copy number variations on longevity in late-onset Alzheimer's disease patients: insights from a causality network analysis.
38047913,Avoiding false discoveries in single-cell RNA-seq by revisiting the first Alzheimer's disease dataset.
38184787,Genome-wide association studies identify novel loci in rapidly progressive Alzheimer's disease.
38187571,"Metabolomics profiling reveals distinct, sex-specific signatures in the serum and brain metabolomes in the mouse models of Alzheimer's disease."
38234807,Whole-Genome Sequencing Analysis Reveals New Susceptibility Loci and Structural Variants Associated with Progressive Supranuclear Palsy.
38254182,"PICALO: principal interaction component analysis for the identification of discrete technical, cell-type, and environmental factors that mediate eQTLs."
38263370,Human whole-exome genotype data for Alzheimer's disease.
38285009,"Downregulation of Dickkopf-3, a Wnt antagonist elevated in Alzheimer's disease, restores synapse integrity and memory in a disease mouse model."
38313266,Individual bioenergetic capacity as a potential source of resilience to Alzheimer's disease.
38354736,The association of GNB5 with Alzheimer disease revealed by genomic analysis restricted to variants impacting gene function.
38380866,Whole genome-wide sequence analysis of long-lived families (Long-Life Family Study) identifies MTUS2 gene associated with late-onset Alzheimer's disease.
38393909,African Ancestry Individuals with Higher Educational Attainment Are Resilient to Alzheimer's Disease Measured by pTau181.
38418088,A comparative study of structural variant calling in WGS from Alzheimer's disease families.
38424036,APOE genotype-specific methylation patterns are linked to Alzheimer disease pathology and estrogen response.
38439972,AI-enabled evaluation of genome-wide association relevance and polygenic risk score prediction in Alzheimer's disease.
38460116,Genetic associations with dementia-related proteinopathy: Application of item response theory.
38464214,Association of Structural Forms of 17q21.31 with the Risk of Progressive Supranuclear Palsy and 
38511601,Key variants via the Alzheimer's Disease Sequencing Project whole genome sequence data.
38559190,A systems-biology approach connects aging mechanisms with Alzheimer's disease pathogenesis.
38650747,Genetic and multi-omic risk assessment of Alzheimer's disease implicates core associated biological domains.
38663994,Genetics impact risk of Alzheimer's disease through mechanisms modulating structural brain morphology in late life.
38676929,"Metabolomics profiling reveals distinct, sex-specific signatures in serum and brain metabolomes in mouse models of Alzheimer's disease."
38699303,Comparative gene regulatory networks modulating 
38699372,CWAS-Plus: Estimating category-wide association of rare noncoding variation from whole-genome sequencing data with cell-type-specific functional data.
38712163,The Role of X Chromosome in Alzheimer's Disease Genetics.
38760483,Supervised latent factor modeling isolates cell-type-specific transcriptomic modules that underlie Alzheimer's disease progression.
38781333,"Brain cell-type shifts in Alzheimer's disease, autism, and schizophrenia interrogated using methylomics and genetics."
38787369,Biobank-wide association scan identifies risk factors for late-onset Alzheimer's disease and endophenotypes.
38788065,Epistatic Features and Machine Learning Improve Alzheimer's Disease Risk Prediction Over Polygenic Risk Scores.
38883718,"Novel early-onset Alzheimer-associated genes influence risk through dysregulation of glutamate, immune activation, and intracell signaling pathways."
38903124,The Role of Genomic-Informed Risk Assessments in Predicting Dementia Outcomes.
38915636,"Sex, racial, and "
38958117,Extended genome-wide association study employing the African genome resources panel identifies novel susceptibility loci for Alzheimer's disease in individuals of African ancestry.
38966948,CWAS-Plus: estimating category-wide association of rare noncoding variation from whole-genome sequencing data with cell-type-specific functional data.
39030261,Targeted co-expression networks for the study of traits.
39101011,Small apolipoprotein(a) isoforms may predict primary patency following peripheral arterial revascularization.
39103319,SR-TWAS: leveraging multiple reference panels to improve transcriptome-wide association study power by ensemble machine learning.
39108532,A Specialized Reference Panel with Structural Variants Integration for Improving Genotype Imputation in Alzheimer's Disease and Related Dementias (ADRD).
39149243,BLEND: Probabilistic Cellular Deconvolution with Automated Reference Selection.
39152475,Whole-genome sequencing analysis reveals new susceptibility loci and structural variants associated with progressive supranuclear palsy.
39185475,Field-of-view extension for brain diffusion MRI via deep generative models.
39231932,Chromosome X-wide association study in case control studies of pathologically confirmed Alzheimer's disease in a European population.
39237774,AutoFocus: a hierarchical framework to explore multi-omic disease associations spanning multiple scales of biomolecular interaction.
39251599,"Genetic, transcriptomic, histological, and biochemical analysis of progressive supranuclear palsy implicates glial activation and novel risk genes."
39262221,Cognitive resilience to Alzheimer's disease characterized by cell-type abundance.
39266518,Causal relationships between dyslexia and the risk of eight dementias.
39356058,Widespread transposable element dysregulation in human aging brains with Alzheimer's disease.
39371140,Linkage Disequilibrium-Informed Deep Learning Framework to Identify Genetic Loci for Alzheimer's Disease Using Whole Genome Sequencing Data.
39379761,GWAS of multiple neuropathology endophenotypes identifies new risk loci and provides insights into the genetic risk of dementia.
39402379,Integrated multimodal cell atlas of Alzheimer's disease.
39417134,NIAGADS: A Comprehensive National Data Repository for Alzheimer's Disease and Related Dementia Genetics and Genomics Research.
39417691,Amyloid-β predominant Alzheimer's disease neuropathologic change.
39428694,Whole-genome sequencing study in Koreans identifies novel loci for Alzheimer's disease.
39428839,"Association of common and rare variants with Alzheimer's disease in more than 13,000 diverse individuals with whole-genome sequencing from the Alzheimer's Disease Sequencing Project."
39444005,"Blood-derived mitochondrial DNA copy number is associated with Alzheimer disease, Alzheimer-related biomarkers and serum metabolites."
39554095,Integrative Network Analysis Reveals Novel Moderators of Aβ-Tau Interaction in Alzheimer's Disease.
39606324,"Biobank-scale characterization of Alzheimer's disease and related dementias identifies potential disease-causing variants, risk factors, and genetic modifiers across diverse ancestries."
39649166,DNA Methylation Signature of a Lifestyle-based Resilience Index for Cognitive Health.
39649607,Distinct medical and substance use histories associate with cognitive decline in Alzheimer's Disease.
39651210,CHARMER: detecting and harmonizing high-confidence chromatin interactions across tissues and Hi-C protocols.
39677464,Alzheimer's Disease Sequencing Project Release 4 Whole Genome Sequencing Dataset.
39711105,Sex and APOE ε4 allele differences in longitudinal white matter microstructure in multiple cohorts of aging and Alzheimer's disease.
39803447,Sex-specific Associations of Gene Expression with Alzheimer's Disease Neuropathology and Ante-mortem Cognitive Performance.
39822590,LD-informed deep learning for Alzheimer's gene loci detection using WGS data.
39901616,Contributions of Genetic Variation in Astrocytes to Cell and Molecular Mechanisms of Risk and Resilience to Late-Onset Alzheimer's Disease.
